Tesla M2090 (1331 GFLOPS, 1416 GBit/sec) hydro-isot

Res	ms/step	GFLOPS	Grid	Block
1024^2	7.143	96.885	8 x 2	1 x 544
1280^2	14.645	73.828	6 x 3	1 x 544
1536^2	22.872	68.080	6 x 3	1 x 544
1792^2	23.798	89.058	4 x 4	1 x 544
2048^2	27.805	99.561	4 x 4	1 x 544
2560^2	60.206	71.843	4 x 5	1 x 544
3072^2	89.617	69.502	3 x 6	1 x 544
3584^2	120.746	70.212	3 x 7	1 x 544
4096^2	110.538	110.176	2 x 8	1 x 544
5120^2	256.784	67.378	2 x 10	1 x 544
6144^2	315.952	78.854	2 x 12	1 x 544
7168^2	377.921	89.730	2 x 14	1 x 544
8192^2	442.041	110.198	1 x 16	1 x 544
10240^2	1027.74	67.338	1 x 19	1 x 544
12288^2	1264.50	78.811	1 x 23	1 x 544
14336^2	1512.98	89.654	1 x 27	1 x 544

Res	ms/step	GFLOPS	Grid	Block
1024^2	6.816	101.528	8 x 2	1 x 512
1280^2	14.473	74.717	6 x 3	1 x 512
1536^2	24.142	64.499	6 x 3	1 x 512
1792^2	22.541	94.025	4 x 4	1 x 512
2048^2	26.363	105.003	4 x 4	1 x 512
2560^2	60.559	71.294	4 x 5	1 x 512
3072^2	95.736	65.060	3 x 6	1 x 512
3584^2	113.998	74.367	3 x 7	1 x 512
4096^2	104.677	105.782	2 x 8	1 x 512
5120^2	242.347	71.391	2 x 10	1 x 512
6144^2	298.419	83.487	2 x 12	1 x 512
7168^2	358.062	94.707	2 x 14	1 x 512
8192^2	418.752	105.770	1 x 16	1 x 512
10240^2	970.584	71.303	1 x 20	1 x 512
12288^2	1195.73	83.344	1 x 24	1 x 512
14336^2	1434.08	94.586	1 x 28	1 x 512

Res	ms/step	GFLOPS	Grid	Block
1024^2	5.838	118.535	4 x 4	2 x 256
1280^2	13.036	82.950	4 x 5	2 x 256
1536^2	20.396	76.347	3 x 6	2 x 256
1792^2	24.249	87.402	3 x 7	2 x 256
2048^2	22.584	122.575	2 x 8	2 x 256
2560^2	51.422	84115	2 x 10	2 x 256
3072^2	63.515	98.064	2 x 12	2 x 256
3584^2	76.308	111.098	2 x 14	2 x 256
4096^2	89.571	123.623	1 x 16	2 x 256
5120^2	204.885	84.445	1 x 20	2 x 256
6144^2	253.410	98.316	1 x 24	2 x 256
7168^2	304.770	111.267	1 x 28	2 x 256
8192^2	358.618	123.507	1 x 32	2 x 256
10240^2	647.044	106.957	1 x 40	2 x 256
12288^2	807.198	123.460	1 x 48	2 x 256
14336^2	1223.91	110.828	1 x 56	2 x 256

Res	ms/step	GFLOPS	Grid	Block
1024^2	5.468	126.570	2 x 8	4 x 128
1280^2	12.136	89.105	2 x 10	4 x 128
1536^2	14.992	103.861	2 x 12	4 x 128
1792^2	18.016	117.642	2 x 14	4 x 128
2048^2	21.188	130.652	2 x 16	4 x 128
2560^2	47.830	90.433	1 x 20	4 x 128
3072^2	59.318	105.003	1 x 24	4 x 128
3584^2	71.384	118.762	1 x 28	4 x 128
4096^2	84.107	131.654	1 x 32	4 x 128
5120^2	151.282	114.366	1 x 40	4 x 128
6144^2	189.339	131.585	1 x 48	4 x 128
7168^2	285.987	118.575	1 x 56	4 x 128
8192^2	337.530	131.223	1 x 64	4 x 128
10240^2	526.947	131.334	1 x 80	4 x 128
12288^2	758.470	131.392	1 x 96	4 x 128
14336^2	1036.88	130.819	1 x 112	4 x 128
